session_year,volume_label,pdf_url,verified,size_bytes
1917,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1917/17Vol1_Constitution.pdf,,
1917,Vol1_Tables,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1917/17Vol1_Tables.pdf,,
1917,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1917/17Vol1_Chapters.pdf,,
1917,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1917/17Vol1_Index.pdf,,
1917,Vol1_16Extra,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1917/17Vol1_16Extra.pdf,,
1919,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1919/19Vol1_Constitution.pdf,,
1919,Vol1_Tables,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1919/19Vol1_Tables.pdf,,
1919,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1919/19Vol1_Chapters.pdf,,
1919,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1919/19Vol1_Index.pdf,,
1921,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1921/21Vol1_Constitution.pdf,,
1921,Vol1_Tables,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1921/21Vol1_Tables.pdf,,
1921,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1921/21Vol1_Chapters.pdf,,
1921,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1921/21Vol1_Index.pdf,,
1923,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1923/23Vol1_Constitution.pdf,,
1923,Vol1_Tables,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1923/23Vol1_Tables.pdf,,
1923,Vol1_Chapters,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1923/23Vol1_Chapters.pdf,,
1923,Vol1_Index,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1923/23Vol1_Index.pdf,,
1925,Vol1_Constitution,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1925/25Vol1_Constitution.pdf,,
1925,Vol1_Tables,https://clerk.assembly.ca.gov/sites/clerk.assembly.ca.gov/files/archive/Statutes/1925/25Vol1_Tables.pdf,,
