[2026-06-01 18:54 PT] BACKOFF | Waiting 10s before retry | OK
[2026-06-01 18:54 PT] ATTEMPT | 1933_Vol1_Chapters.pdf attempt 2/5 | OK
[2026-06-01 18:54 PT] DOWNLOAD | 1933_Vol1_Chapters.pdf attempt 2 FAILED: write error: ('Connection broken: IncompleteRead(17936149 bytes read, 148411470 more expected)', IncompleteRead(17936149 bytes read, 148411470 more expected)) | FAIL
[2026-06-01 18:54 PT] BACKOFF | Waiting 20s before retry | OK
[2026-06-01 18:54 PT] ATTEMPT | 1933_Vol1_Chapters.pdf attempt 3/5 | OK
[2026-06-01 18:55 PT] VERIFIED | 1933_Vol1_Chapters.pdf: OK (173,687,651 bytes, 3270 pages) | OK
[2026-06-01 18:55 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:55 PT] PROGRESS | File 20/64: 1923_Vol1_Chapters.pdf | OK
[2026-06-01 18:55 PT] RETRY | START 1923_Vol1_Chapters.pdf | OK
[2026-06-01 18:55 PT] HEAD | 1923_Vol1_Chapters.pdf: Content-Length=96,061,291 | OK
[2026-06-01 18:55 PT] EXISTING | 1923_Vol1_Chapters.pdf: corrupt file present (96,061,291 bytes), removing | WARN
[2026-06-01 18:55 PT] ATTEMPT | 1923_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:55 PT] VERIFIED | 1923_Vol1_Chapters.pdf: OK (96,061,291 bytes, 1689 pages) | OK
[2026-06-01 18:55 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:55 PT] PROGRESS | File 21/64: 1927_Vol1_Chapters.pdf | OK
[2026-06-01 18:55 PT] RETRY | START 1927_Vol1_Chapters.pdf | OK
[2026-06-01 18:55 PT] HEAD | 1927_Vol1_Chapters.pdf: Content-Length=131,880,253 | OK
[2026-06-01 18:55 PT] EXISTING | 1927_Vol1_Chapters.pdf: corrupt file present (131,880,253 bytes), removing | WARN
[2026-06-01 18:55 PT] ATTEMPT | 1927_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:56 PT] VERIFIED | 1927_Vol1_Chapters.pdf: OK (131,880,253 bytes, 2399 pages) | OK
[2026-06-01 18:56 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:56 PT] PROGRESS | File 22/64: 1935_Vol1_Chapters.pdf | OK
[2026-06-01 18:56 PT] RETRY | START 1935_Vol1_Chapters.pdf | OK
[2026-06-01 18:56 PT] HEAD | 1935_Vol1_Chapters.pdf: Content-Length=140,431,972 | OK
[2026-06-01 18:56 PT] EXISTING | 1935_Vol1_Chapters.pdf: corrupt file present (140,431,972 bytes), removing | WARN
[2026-06-01 18:56 PT] ATTEMPT | 1935_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:56 PT] VERIFIED | 1935_Vol1_Chapters.pdf: OK (140,431,972 bytes, 2679 pages) | OK
[2026-06-01 18:56 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:56 PT] PROGRESS | File 23/64: 1929_Vol1_29Chapters.pdf | OK
[2026-06-01 18:56 PT] RETRY | START 1929_Vol1_29Chapters.pdf | OK
[2026-06-01 18:56 PT] HEAD | 1929_Vol1_29Chapters.pdf: Content-Length=123,210,955 | OK
[2026-06-01 18:56 PT] EXISTING | 1929_Vol1_29Chapters.pdf: corrupt file present (123,210,955 bytes), removing | WARN
[2026-06-01 18:56 PT] ATTEMPT | 1929_Vol1_29Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:56 PT] DOWNLOAD | 1929_Vol1_29Chapters.pdf attempt 1 FAILED: write error: ('Connection broken: IncompleteRead(6678931 bytes read, 116532024 more expected)', IncompleteRead(6678931 bytes read, 116532024 more expected)) | FAIL
[2026-06-01 18:56 PT] BACKOFF | Waiting 10s before retry | OK
[2026-06-01 18:56 PT] ATTEMPT | 1929_Vol1_29Chapters.pdf attempt 2/5 | OK
[2026-06-01 18:56 PT] DOWNLOAD | 1929_Vol1_29Chapters.pdf attempt 2 FAILED: write error: ('Connection broken: IncompleteRead(35467790 bytes read, 81451709 more expected)', IncompleteRead(35467790 bytes read, 81451709 more expected)) | FAIL
[2026-06-01 18:56 PT] BACKOFF | Waiting 20s before retry | OK
[2026-06-01 18:57 PT] ATTEMPT | 1929_Vol1_29Chapters.pdf attempt 3/5 | OK
[2026-06-01 18:57 PT] DOWNLOAD | 1929_Vol1_29Chapters.pdf attempt 3 FAILED: write error: ('Connection broken: IncompleteRead(4310006 bytes read, 78006485 more expected)', IncompleteRead(4310006 bytes read, 78006485 more expected)) | FAIL
[2026-06-01 18:57 PT] BACKOFF | Waiting 40s before retry | OK
[2026-06-01 18:57 PT] ATTEMPT | 1929_Vol1_29Chapters.pdf attempt 4/5 | OK
[2026-06-01 18:58 PT] VERIFIED | 1929_Vol1_29Chapters.pdf: OK (123,210,955 bytes, 2276 pages) | OK
[2026-06-01 18:58 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:58 PT] PROGRESS | File 24/64: 1945_Vol1_Chapters.pdf | OK
[2026-06-01 18:58 PT] RETRY | START 1945_Vol1_Chapters.pdf | OK
[2026-06-01 18:58 PT] HEAD | 1945_Vol1_Chapters.pdf: Content-Length=146,031,240 | OK
[2026-06-01 18:58 PT] ATTEMPT | 1945_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:58 PT] VERIFIED | 1945_Vol1_Chapters.pdf: OK (146,031,240 bytes, 2868 pages) | OK
[2026-06-01 18:58 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:58 PT] PROGRESS | File 25/64: 1955_Vol2_Chapters.pdf | OK
[2026-06-01 18:58 PT] RETRY | START 1955_Vol2_Chapters.pdf | OK
[2026-06-01 18:58 PT] HEAD | 1955_Vol2_Chapters.pdf: Content-Length=110,706,879 | OK
[2026-06-01 18:58 PT] EXISTING | 1955_Vol2_Chapters.pdf: corrupt file present (110,706,879 bytes), removing | WARN
[2026-06-01 18:58 PT] ATTEMPT | 1955_Vol2_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:59 PT] VERIFIED | 1955_Vol2_Chapters.pdf: OK (110,706,879 bytes, 2134 pages) | OK
[2026-06-01 18:59 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:59 PT] PROGRESS | File 26/64: 1951_Vol2_Chapters.pdf | OK
[2026-06-01 18:59 PT] RETRY | START 1951_Vol2_Chapters.pdf | OK
[2026-06-01 18:59 PT] HEAD | 1951_Vol2_Chapters.pdf: Content-Length=103,543,223 | OK
[2026-06-01 18:59 PT] EXISTING | 1951_Vol2_Chapters.pdf: corrupt file present (103,543,223 bytes), removing | WARN
[2026-06-01 18:59 PT] ATTEMPT | 1951_Vol2_Chapters.pdf attempt 1/5 | OK
[2026-06-01 18:59 PT] VERIFIED | 1951_Vol2_Chapters.pdf: OK (103,543,223 bytes, 2024 pages) | OK
[2026-06-01 18:59 PT] MANIFEST | Manifest saved | OK
[2026-06-01 18:59 PT] PROGRESS | File 27/64: 1957_Vol1_57Chapters.pdf | OK
[2026-06-01 18:59 PT] RETRY | START 1957_Vol1_57Chapters.pdf | OK
[2026-06-01 18:59 PT] HEAD | 1957_Vol1_57Chapters.pdf: Content-Length=107,245,150 | OK
[2026-06-01 18:59 PT] EXISTING | 1957_Vol1_57Chapters.pdf: corrupt file present (107,245,150 bytes), removing | WARN
[2026-06-01 18:59 PT] ATTEMPT | 1957_Vol1_57Chapters.pdf attempt 1/5 | OK
[2026-06-01 19:00 PT] VERIFIED | 1957_Vol1_57Chapters.pdf: OK (107,245,150 bytes, 2191 pages) | OK
[2026-06-01 19:00 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:00 PT] PROGRESS | File 28/64: 1949_Vol1_Chapters.pdf | OK
[2026-06-01 19:00 PT] RETRY | START 1949_Vol1_Chapters.pdf | OK
[2026-06-01 19:00 PT] HEAD | 1949_Vol1_Chapters.pdf: Content-Length=173,376,777 | OK
[2026-06-01 19:00 PT] EXISTING | 1949_Vol1_Chapters.pdf: corrupt file present (173,376,777 bytes), removing | WARN
[2026-06-01 19:00 PT] ATTEMPT | 1949_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 19:00 PT] VERIFIED | 1949_Vol1_Chapters.pdf: OK (173,376,777 bytes, 3423 pages) | OK
[2026-06-01 19:00 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:00 PT] PROGRESS | File 29/64: 1970_Vol2_StatRecord.pdf | OK
[2026-06-01 19:00 PT] RETRY | START 1970_Vol2_StatRecord.pdf | OK
[2026-06-01 19:00 PT] HEAD | 1970_Vol2_StatRecord.pdf: Content-Length=7,693,964 | OK
[2026-06-01 19:00 PT] EXISTING | 1970_Vol2_StatRecord.pdf: corrupt file present (7,693,964 bytes), removing | WARN
[2026-06-01 19:00 PT] ATTEMPT | 1970_Vol2_StatRecord.pdf attempt 1/5 | OK
[2026-06-01 19:00 PT] VERIFIED | 1970_Vol2_StatRecord.pdf: OK (7,693,964 bytes, 178 pages) | OK
[2026-06-01 19:00 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:00 PT] PROGRESS | File 30/64: 1969_Vol2_Summary.pdf | OK
[2026-06-01 19:00 PT] RETRY | START 1969_Vol2_Summary.pdf | OK
[2026-06-01 19:00 PT] HEAD | 1969_Vol2_Summary.pdf: Content-Length=15,261,868 | OK
[2026-06-01 19:00 PT] EXISTING | 1969_Vol2_Summary.pdf: corrupt file present (15,261,868 bytes), removing | WARN
[2026-06-01 19:00 PT] ATTEMPT | 1969_Vol2_Summary.pdf attempt 1/5 | OK
[2026-06-01 19:00 PT] VERIFIED | 1969_Vol2_Summary.pdf: OK (15,261,868 bytes, 285 pages) | OK
[2026-06-01 19:00 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:00 PT] PROGRESS | File 31/64: 1968_Vol1_Chapters.pdf | OK
[2026-06-01 19:00 PT] RETRY | START 1968_Vol1_Chapters.pdf | OK
[2026-06-01 19:00 PT] HEAD | 1968_Vol1_Chapters.pdf: Content-Length=77,109,193 | OK
[2026-06-01 19:00 PT] ATTEMPT | 1968_Vol1_Chapters.pdf attempt 1/5 | OK
[2026-06-01 19:01 PT] VERIFIED | 1968_Vol1_Chapters.pdf: OK (77,109,193 bytes, 1648 pages) | OK
[2026-06-01 19:01 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:01 PT] PROGRESS | File 32/64: 1969_Vol2_Chapters.pdf | OK
[2026-06-01 19:01 PT] RETRY | START 1969_Vol2_Chapters.pdf | OK
[2026-06-01 19:01 PT] HEAD | 1969_Vol2_Chapters.pdf: Content-Length=153,070,717 | OK
[2026-06-01 19:01 PT] ATTEMPT | 1969_Vol2_Chapters.pdf attempt 1/5 | OK
[2026-06-01 19:01 PT] VERIFIED | 1969_Vol2_Chapters.pdf: OK (153,070,717 bytes, 2412 pages) | OK
[2026-06-01 19:01 PT] MANIFEST | Manifest saved | OK
[2026-06-01 19:01 PT] PROGRESS | File 33/64: 1968_Vol2_Chapters.pdf | OK
[2026-06-01 19:01 PT] RETRY | START 1968_Vol2_Chapters.pdf | OK
[2026-06-01 19:01 PT] HEAD | 1968_Vol2_Chapters.pdf: Content-Length=80,222,147 | OK
[2026-06-01 19:01 PT] EXISTING | 1968_Vol2_Chapters.pdf: corrupt file present (80,222,147 bytes), removing | WARN
[2026-06-01 19:01 PT] ATTEMPT | 1968_Vol2_Chapters.pdf attempt 1/5 | OK
[2026-06-01 19:02 PT] VERIFIED | 1968_Vol2_Chapters.pdf: OK (80,222,147 bytes, 1682 pages) | OK
