[2026-06-21 04:37 PT] OK | ch0085 (LXXXV) -> key=77 page=78 eng=tess_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0086 (LXXXVI) -> key=83 page=84 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0090 (XC) -> key=75 page=76 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0101 (CI) -> NOT FOUND in keys 85-116
[2026-06-21 04:37 PT] OK | ch0107 (CVII) -> key=107 page=108 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0118 (CXVIII) -> key=114 page=115 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0121 (CXXI) -> key=118 page=119 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0124 (CXXIV) -> key=123 page=124 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0127 (CXXVII) -> key=129 page=130 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0136 (CXXXVI) -> key=135 page=136 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0137 (CXXXVII) -> key=135 page=136 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0138 (CXXXVIII) -> key=136 page=137 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0141 (CXLI) -> NOT FOUND in keys 123-154
[2026-06-21 04:37 PT] WARN | ch0143 (CXLIII) -> NOT FOUND in keys 124-160
[2026-06-21 04:37 PT] WARN | ch0144 (CXLIV) -> NOT FOUND in keys 124-160
[2026-06-21 04:37 PT] WARN | ch0147 (CXLVII) -> NOT FOUND in keys 131-162
[2026-06-21 04:37 PT] OK | ch0152 (CLII) -> key=148 page=149 eng=tess_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0155 (CLV) -> key=102 page=103 eng=tess_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0156 (CLVI) -> key=154 page=155 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0161 (CLXI) -> key=157 page=158 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0164 (CLXIV) -> key=162 page=163 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0166 (CLXVI) -> key=166 page=167 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0169 (CLXIX) -> key=167 page=168 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0173 (CLXXIII) -> key=170 page=171 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0175 (CLXXV) -> key=172 page=173 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0176 (CLXXVI) -> key=173 page=174 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0178 (CLXXVIII) -> key=175 page=176 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0179 (CLXXIX) -> key=175 page=176 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0182 (CLXXXII) -> NOT FOUND in keys 163-194
[2026-06-21 04:37 PT] OK | ch0188 (CLXXXVIII) -> key=183 page=184 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0189 (CLXXXIX) -> key=183 page=184 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0209 (CCIX) -> NOT FOUND in keys 188-219
[2026-06-21 04:37 PT] WARN | ch0211 (CCXI) -> NOT FOUND in keys 189-220
[2026-06-21 04:37 PT] OK | ch0213 (CCXIII) -> key=205 page=206 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0217 (CCXVII) -> NOT FOUND in keys 193-225
[2026-06-21 04:37 PT] OK | ch0223 (CCXXIII) -> key=215 page=216 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0230 (CCXXX) -> NOT FOUND in keys 206-242
[2026-06-21 04:37 PT] OK | ch0231 (CCXXXI) -> key=212 page=213 eng=tess_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0236 (CCXXXVI) -> key=235 page=236 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0238 (CCXXXVIII) -> key=236 page=237 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0239 (CCXXXIX) -> key=236 page=237 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0240 (CCXL) -> NOT FOUND in keys 222-253
[2026-06-21 04:37 PT] OK | ch0244 (CCXLIV) -> key=239 page=240 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0246 (CCXLVI) -> NOT FOUND in keys 225-263
[2026-06-21 04:37 PT] WARN | ch0247 (CCXLVII) -> NOT FOUND in keys 225-263
[2026-06-21 04:37 PT] OK | ch0252 (CCLII) -> key=253 page=254 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0255 (CCLV) -> NOT FOUND in keys 203-272
[2026-06-21 04:37 PT] WARN | ch0257 (CCLVII) -> NOT FOUND in keys 242-273
[2026-06-21 04:37 PT] OK | ch0262 (CCLXII) -> key=262 page=263 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0266 (CCLXVI) -> key=278 page=279 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0271 (CCLXXI) -> key=282 page=283 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0275 (CCLXXV) -> NOT FOUND in keys 272-303
[2026-06-21 04:37 PT] OK | ch0283 (CCLXXXIII) -> key=293 page=294 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0284 (CCLXXXIV) -> NOT FOUND in keys 278-311
[2026-06-21 04:37 PT] WARN | ch0287 (CCLXXXVII) -> NOT FOUND in keys 224-312
[2026-06-21 04:37 PT] WARN | ch0288 (CCLXXXVIII) -> NOT FOUND in keys 224-312
[2026-06-21 04:37 PT] OK | ch0296 (CCXCVI) -> key=306 page=307 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0298 (CCXCVIII) -> NOT FOUND in keys 239-323
[2026-06-21 04:37 PT] WARN | ch0309 (CCCIX) -> NOT FOUND in keys 302-335
[2026-06-21 04:37 PT] OK | ch0312 (CCCXII) -> key=324 page=325 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0316 (CCCXVI) -> key=336 page=337 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0318 (CCCXVIII) -> key=338 page=339 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0326 (CCCXXVI) -> key=345 page=346 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0327 (CCCXXVII) -> key=345 page=346 eng=tess_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0331 (CCCXXXI) -> key=356 page=357 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0333 (CCCXXXIII) -> key=346 page=347 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0334 (CCCXXXIV) -> NOT FOUND in keys 343-375
[2026-06-21 04:37 PT] OK | ch0338 (CCCXXXVIII) -> key=362 page=363 eng=surya_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0340 (CCCXL) -> NOT FOUND in keys 348-379
[2026-06-21 04:37 PT] WARN | ch0342 (CCCXLII) -> NOT FOUND in keys 349-382
[2026-06-21 04:37 PT] WARN | ch0343 (CCCXLIII) -> NOT FOUND in keys 349-382
[2026-06-21 04:37 PT] WARN | ch0344 (CCCXLIV) -> NOT FOUND in keys 349-382
[2026-06-21 04:37 PT] WARN | ch0346 (CCCXLVI) -> NOT FOUND in keys 352-383
[2026-06-21 04:37 PT] WARN | ch0348 (CCCXLVIII) -> NOT FOUND in keys 353-386
[2026-06-21 04:37 PT] WARN | ch0349 (CCCXLIX) -> NOT FOUND in keys 353-386
[2026-06-21 04:37 PT] WARN | ch0350 (CCCL) -> NOT FOUND in keys 353-386
[2026-06-21 04:37 PT] OK | ch0353 (CCCLIII) -> key=371 page=372 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0366 (CCCLXVI) -> key=386 page=387 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] OK | ch0367 (CCCLXVII) -> key=387 page=388 eng=doctr_text confirmed=True
[2026-06-21 04:37 PT] WARN | ch0369 (CCCLXIX) -> NOT FOUND in keys 374-451
[2026-06-21 04:37 PT] WARN | ch0370 (CCCLXX) -> NOT FOUND in keys 374-451
[2026-06-21 04:37 PT] OK | visual-1860 v2 DONE -- verified=68 not_found=38
[2026-06-21 04:40 PT] OK | visual-1860 v3 START -- 106 missing chapters
[2026-06-21 04:40 PT] OK | ch0002 (II) -> key=16 page=17 eng=surya_text raw=II confirmed=True
[2026-06-21 04:40 PT] OK | ch0005 (V) -> key=16 page=17 eng=tess_text raw=V confirmed=True
[2026-06-21 04:40 PT] OK | ch0013 (XIII) -> key=36 page=37 eng=doctr_text raw=XIIL confirmed=False
[2026-06-21 04:40 PT] OK | ch0025 (XXV) -> key=43 page=44 eng=surya_text raw=XXV confirmed=True
[2026-06-21 04:40 PT] OK | ch0026 (XXVI) -> key=44 page=45 eng=doctr_text raw=XXVI confirmed=True
[2026-06-21 04:40 PT] OK | ch0027 (XXVII) -> key=44 page=45 eng=surya_text raw=XXVII confirmed=True
[2026-06-21 04:40 PT] OK | ch0031 (XXXI) -> key=46 page=47 eng=doctr_text raw=XXXI confirmed=True
[2026-06-21 04:40 PT] OK | ch0036 (XXXVI) -> key=49 page=50 eng=surya_text raw=XXXVI confirmed=True
[2026-06-21 04:40 PT] OK | ch0038 (XXXVIII) -> key=50 page=51 eng=doctr_text raw=XXXVIII confirmed=True
[2026-06-21 04:40 PT] OK | ch0039 (XXXIX) -> key=48 page=49 eng=doctr_text raw=IXXIV confirmed=False
[2026-06-21 04:40 PT] OK | ch0043 (XLIII) -> key=54 page=55 eng=doctr_text raw=XLIII confirmed=True
[2026-06-21 04:40 PT] OK | ch0047 (XLVII) -> key=56 page=57 eng=doctr_text raw=XLVII confirmed=True
[2026-06-21 04:40 PT] OK | ch0054 (LIV) -> key=54 page=55 eng=doctr_text raw=XLIV confirmed=False
[2026-06-21 04:40 PT] OK | ch0058 (LVIII) -> key=56 page=57 eng=doctr_text raw=XLVIII confirmed=False
[2026-06-21 04:40 PT] OK | ch0062 (LXII) -> key=63 page=64 eng=doctr_text raw=LXIL confirmed=False
[2026-06-21 04:40 PT] WARN | ch0063 (LXIII) -> NOT FOUND keys 44-87
[2026-06-21 04:40 PT] OK | ch0065 (LXV) -> key=66 page=67 eng=doctr_text raw=LXV confirmed=True
[2026-06-21 04:40 PT] OK | ch0067 (LXVII) -> key=68 page=69 eng=doctr_text raw=LAVIL confirmed=False
[2026-06-21 04:40 PT] OK | ch0069 (LXIX) -> key=62 page=63 eng=tess_text raw=LTAX confirmed=False
[2026-06-21 04:40 PT] OK | ch0072 (LXXII) -> key=71 page=72 eng=doctr_text raw=LAXII confirmed=False
[2026-06-21 04:40 PT] OK | ch0073 (LXXIII) -> key=71 page=72 eng=doctr_text raw=LXXIII confirmed=True
[2026-06-21 04:40 PT] OK | ch0076 (LXXVI) -> key=78 page=79 eng=doctr_text raw=LAXVI confirmed=False
[2026-06-21 04:40 PT] WARN | ch0078 (LXXVIII) -> NOT FOUND keys 59-101
[2026-06-21 04:40 PT] OK | ch0082 (LXXXII) -> key=81 page=82 eng=surya_text raw=LXXXII confirmed=True
[2026-06-21 04:40 PT] OK | ch0084 (LXXXIV) -> key=82 page=83 eng=doctr_text raw=LXXXIV confirmed=True
[2026-06-21 04:40 PT] OK | ch0085 (LXXXV) -> key=77 page=78 eng=tess_text raw=LXAXV confirmed=False
[2026-06-21 04:40 PT] OK | ch0086 (LXXXVI) -> key=83 page=84 eng=surya_text raw=LXXXVI confirmed=True
[2026-06-21 04:40 PT] OK | ch0090 (XC) -> key=68 page=69 eng=doctr_text raw=ALL confirmed=False
[2026-06-21 04:40 PT] OK | ch0101 (CI) -> key=84 page=85 eng=doctr_text raw=CT confirmed=False
[2026-06-21 04:40 PT] OK | ch0107 (CVII) -> key=95 page=96 eng=doctr_text raw=XCVII confirmed=False
[2026-06-21 04:40 PT] OK | ch0118 (CXVIII) -> key=114 page=115 eng=doctr_text raw=CXVIII confirmed=True
[2026-06-21 04:40 PT] OK | ch0121 (CXXI) -> key=118 page=119 eng=doctr_text raw=CXXI confirmed=True
[2026-06-21 04:40 PT] OK | ch0124 (CXXIV) -> key=123 page=124 eng=doctr_text raw=CXXIV confirmed=True
[2026-06-21 04:40 PT] OK | ch0127 (CXXVII) -> key=129 page=130 eng=surya_text raw=CXXVII confirmed=True
