[2026-06-21 08:42 PT] OK |   ch1404: pg=713 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1405: pg=715 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1406: pg=736 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1407: pg=749 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1408: pg=750 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1409: pg=752 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1430: pg=832 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1432: pg=838 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1435: pg=878 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1437: pg=886 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1438: pg=887 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1439: pg=887 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1456: pg=966 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1460: pg=979 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1462: pg=1019 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1478: pg=1211 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1479: pg=1211 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1480: pg=1211 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1481: pg=1211 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1491: pg=1256 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1498: pg=1278 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1499: pg=1280 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1503: pg=1301 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1505: pg=1303 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1506: pg=1307 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1507: pg=1308 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1508: pg=1324 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1541: pg=1476 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1542: pg=1478 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1543: pg=1490 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1563: pg=1586 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1564: pg=1597 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1565: pg=1597 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1582: pg=1701 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1583: pg=1708 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1591: pg=1746 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1610: pg=1850 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1624: pg=1896 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1635: pg=1973 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1638: pg=1979 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1640: pg=1982 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1641: pg=1985 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK |   ch1642: pg=1988 status=image_verified confirmed=False
[2026-06-21 08:42 PT] OK | production-1988-vol3: DONE v2. targeted=97 verified=97 leg_gap=0 not_found=0
[2026-06-21 08:42 PT] OK | v2 CAMPAIGN COMPLETE: verified=100 leg_gap=0 not_found=1 total=101
[2026-06-21 08:45 PT] PHASE | v3 MAIN: 101 missing across 2 volumes
[2026-06-21 08:45 PT] PHASE | Processing production-1988-vol1-chapters: 4 chapters
[2026-06-21 08:45 PT] PHASE | v3: Loading OCR for production-1988-vol1-chapters...
[2026-06-21 08:45 PT] INFO | production-1988-vol1-chapters: OCR max_key=1747
[2026-06-21 08:45 PT] OK |   ch160: pg=596 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch237: pg=862 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch372: pg=1687 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch398: pg=1748 unconfirmed status=not_found_needs_reocr
[2026-06-21 08:45 PT] OK | production-1988-vol1-chapters: DONE v3. targeted=4 verified=3 confirmed=0 leg_gap=0 not_found=1
[2026-06-21 08:45 PT] PHASE | Processing production-1988-vol3: 97 chapters
[2026-06-21 08:45 PT] PHASE | v3: Loading OCR for production-1988-vol3...
[2026-06-21 08:45 PT] INFO | production-1988-vol3: OCR max_key=2206
[2026-06-21 08:45 PT] OK |   ch1212: pg=11 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1213: pg=17 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1218: pg=31 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1232: pg=76 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1236: pg=81 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1237: pg=84 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1238: pg=86 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1241: pg=96 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1242: pg=99 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1245: pg=109 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1248: pg=128 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1249: pg=131 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1251: pg=136 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1252: pg=138 unconfirmed status=image_verified
[2026-06-21 08:45 PT] OK |   ch1259: pg=162 unconfirmed status=image_verified
