# gpu-monitor (python, per-sample flush) start
2026/06/23 18:26:44.881, 54, 100 %, 133.06 W, 32014 MiB, 32607 MiB
2026/06/23 18:26:59.924, 53, 100 %, 133.02 W, 32014 MiB, 32607 MiB
2026/06/23 18:27:14.970, 53, 100 %, 135.82 W, 32014 MiB, 32607 MiB
2026/06/23 18:27:30.026, 53, 100 %, 134.29 W, 32014 MiB, 32607 MiB
2026/06/23 18:27:45.088, 53, 100 %, 147.31 W, 32014 MiB, 32607 MiB
2026/06/23 18:28:00.140, 53, 100 %, 138.77 W, 32014 MiB, 32607 MiB
2026/06/23 18:28:15.190, 53, 100 %, 134.29 W, 32014 MiB, 32607 MiB
2026/06/23 18:28:30.235, 52, 100 %, 133.18 W, 32014 MiB, 32607 MiB
2026/06/23 18:28:45.279, 52, 100 %, 138.54 W, 32014 MiB, 32607 MiB
2026/06/23 18:29:00.322, 52, 100 %, 147.50 W, 32014 MiB, 32607 MiB
2026/06/23 18:29:15.374, 52, 100 %, 135.88 W, 32014 MiB, 32607 MiB
2026/06/23 18:29:30.422, 53, 100 %, 139.50 W, 32014 MiB, 32607 MiB
2026/06/23 18:29:45.476, 52, 100 %, 131.70 W, 32014 MiB, 32607 MiB
2026/06/23 18:30:00.533, 51, 100 %, 131.26 W, 32014 MiB, 32607 MiB
2026/06/23 18:30:15.571, 52, 100 %, 136.78 W, 32014 MiB, 32607 MiB
2026/06/23 18:30:30.612, 52, 100 %, 148.09 W, 32014 MiB, 32607 MiB
2026/06/23 18:30:45.650, 51, 100 %, 135.34 W, 32014 MiB, 32607 MiB
2026/06/23 18:31:00.690, 51, 100 %, 132.56 W, 32014 MiB, 32607 MiB
2026/06/23 18:31:15.740, 51, 100 %, 137.82 W, 32014 MiB, 32607 MiB
2026/06/23 18:31:30.792, 51, 100 %, 146.10 W, 32014 MiB, 32607 MiB
2026/06/23 18:31:45.833, 52, 100 %, 129.02 W, 32014 MiB, 32607 MiB
2026/06/23 18:32:00.884, 52, 100 %, 147.22 W, 32014 MiB, 32607 MiB
2026/06/23 18:32:15.926, 52, 100 %, 147.10 W, 32014 MiB, 32607 MiB
2026/06/23 18:32:30.981, 51, 100 %, 134.81 W, 32014 MiB, 32607 MiB
2026/06/23 18:32:46.032, 51, 100 %, 134.16 W, 32014 MiB, 32607 MiB
2026/06/23 18:33:01.078, 51, 100 %, 132.83 W, 32014 MiB, 32607 MiB
2026/06/23 18:33:16.117, 51, 100 %, 144.74 W, 32014 MiB, 32607 MiB
2026/06/23 18:33:31.158, 51, 100 %, 137.88 W, 32014 MiB, 32607 MiB
2026/06/23 18:33:46.207, 51, 100 %, 131.70 W, 32014 MiB, 32607 MiB
2026/06/23 18:34:01.262, 51, 100 %, 137.42 W, 32014 MiB, 32607 MiB
2026/06/23 18:34:16.307, 52, 100 %, 134.86 W, 32014 MiB, 32607 MiB
2026/06/23 18:34:31.358, 51, 100 %, 134.88 W, 32014 MiB, 32607 MiB
2026/06/23 18:34:46.408, 52, 100 %, 146.90 W, 32014 MiB, 32607 MiB
2026/06/23 18:35:01.455, 51, 100 %, 136.98 W, 32014 MiB, 32607 MiB
2026/06/23 18:35:16.493, 51, 100 %, 133.06 W, 32014 MiB, 32607 MiB
2026/06/23 18:35:31.533, 51, 100 %, 128.80 W, 32014 MiB, 32607 MiB
2026/06/23 18:35:46.575, 51, 100 %, 136.89 W, 32014 MiB, 32607 MiB
2026/06/23 18:36:01.623, 51, 100 %, 147.08 W, 32014 MiB, 32607 MiB
2026/06/23 18:36:16.667, 52, 100 %, 144.12 W, 32014 MiB, 32607 MiB
2026/06/23 18:36:31.719, 51, 100 %, 138.26 W, 32014 MiB, 32607 MiB
2026/06/23 18:36:46.759, 51, 100 %, 131.88 W, 32014 MiB, 32607 MiB
2026/06/23 18:37:01.802, 51, 100 %, 132.06 W, 32014 MiB, 32607 MiB
2026/06/23 18:37:16.848, 51, 100 %, 136.20 W, 32014 MiB, 32607 MiB
2026/06/23 18:37:31.900, 51, 100 %, 145.90 W, 32014 MiB, 32607 MiB
2026/06/23 18:37:46.937, 51, 100 %, 137.22 W, 32014 MiB, 32607 MiB
2026/06/23 18:38:01.980, 51, 100 %, 132.66 W, 32014 MiB, 32607 MiB
2026/06/23 18:38:17.027, 51, 100 %, 132.47 W, 32014 MiB, 32607 MiB
2026/06/23 18:38:32.080, 51, 100 %, 132.03 W, 32014 MiB, 32607 MiB
2026/06/23 18:38:47.120, 51, 100 %, 132.81 W, 32014 MiB, 32607 MiB
2026/06/23 18:39:02.167, 51, 100 %, 136.49 W, 32014 MiB, 32607 MiB
2026/06/23 18:39:17.207, 51, 100 %, 147.42 W, 32014 MiB, 32607 MiB
2026/06/23 18:39:32.260, 51, 100 %, 136.46 W, 32014 MiB, 32607 MiB
2026/06/23 18:39:47.310, 52, 100 %, 135.26 W, 32014 MiB, 32607 MiB
2026/06/23 18:40:02.362, 51, 100 %, 128.18 W, 32014 MiB, 32607 MiB
2026/06/23 18:40:17.414, 52, 100 %, 146.67 W, 32014 MiB, 32607 MiB
2026/06/23 18:40:32.458, 59, 89 %, 340.28 W, 32014 MiB, 32607 MiB
2026/06/23 18:40:47.508, 52, 100 %, 145.33 W, 32014 MiB, 32607 MiB
2026/06/23 18:41:02.562, 51, 100 %, 137.64 W, 32014 MiB, 32607 MiB
2026/06/23 18:41:17.600, 52, 100 %, 132.32 W, 32014 MiB, 32607 MiB
2026/06/23 18:41:32.651, 51, 100 %, 132.14 W, 32014 MiB, 32607 MiB
2026/06/23 18:41:47.708, 51, 100 %, 144.88 W, 32014 MiB, 32607 MiB
2026/06/23 18:42:02.756, 51, 100 %, 138.38 W, 32014 MiB, 32607 MiB
2026/06/23 18:42:17.793, 51, 100 %, 131.70 W, 32014 MiB, 32607 MiB
