token	freq	tier	prior_category
sintes	5	low_freq	TYPO
skofield	5	low_freq	TYPO
slaugh	5	low_freq	TYPO
soat	5	low_freq	TYPO
sonta	5	low_freq	TYPO
spering	5	low_freq	TYPO
stants	5	low_freq	TYPO
stepo	5	low_freq	TYPO
stevinson	5	low_freq	TYPO
stoe	5	low_freq	TYPO
strybing	5	low_freq	GARBLE
suce	5	low_freq	TYPO
suek	5	low_freq	TYPO
sycuan	5	low_freq	NAMELIKE
tacie	5	low_freq	TYPO
tatus	5	low_freq	TYPO
teag	5	low_freq	TYPO
tency	5	low_freq	FRAGMENT
tenthouse	5	low_freq	TYPO
thav	5	low_freq	TYPO
tolla	5	low_freq	TYPO
treaster	5	low_freq	NAMELIKE
tulls	5	low_freq	TYPO
uver	5	low_freq	TYPO
vances	5	low_freq	TYPO
vancy	5	low_freq	TYPO
vanee	5	low_freq	TYPO
voiers	5	low_freq	TYPO
wasmuth	5	low_freq	NAMELIKE
werson	5	low_freq	TYPO
whcm	5	low_freq	TYPO
whetner	5	low_freq	TYPO
wmch	5	low_freq	TYPO
wrich	5	low_freq	TYPO
xec	5	low_freq	TYPO
yerly	5	low_freq	TYPO
zmudowski	5	low_freq	NAMELIKE
adiministration	4	low_freq	TYPO
aily	4	low_freq	TYPO
airpor	4	low_freq	TYPO
algier	4	low_freq	TYPO
allega	4	low_freq	TYPO
amento	4	low_freq	FRAGMENT
andings	4	low_freq	TYPO
antee	4	low_freq	TYPO
antsell	4	low_freq	NAMELIKE
arminta	4	low_freq	NAMELIKE
auces	4	low_freq	TYPO
aviani	4	low_freq	TYPO
baltzar	4	low_freq	NAMELIKE
bandoni	4	low_freq	NAMELIKE
behre	4	low_freq	NAMELIKE
beiter	4	low_freq	TYPO
besore	4	low_freq	TYPO
beteta	4	low_freq	TYPO
betge	4	low_freq	TYPO
betler	4	low_freq	TYPO
billye	4	low_freq	TYPO
bockman	4	low_freq	TYPO
boero	4	low_freq	TYPO
bonato	4	low_freq	TYPO
boncl	4	low_freq	NAMELIKE
bondor	4	low_freq	TYPO
bonse	4	low_freq	TYPO
bowcutt	4	low_freq	NAMELIKE
breakenridge	4	low_freq	TYPO
brickett	4	low_freq	TYPO
broida	4	low_freq	NAMELIKE
bumbaugh	4	low_freq	NAMELIKE
bunyard	4	low_freq	NAMELIKE
buria	4	low_freq	TYPO
burres	4	low_freq	TYPO
butrick	4	low_freq	NAMELIKE
byrl	4	low_freq	TYPO
calvine	4	low_freq	TYPO
caneer	4	low_freq	TYPO
carrison	4	low_freq	TYPO
castagnola	4	low_freq	NAMELIKE
catons	4	low_freq	TYPO
charies	4	low_freq	TYPO
claira	4	low_freq	TYPO
clarken	4	low_freq	TYPO
cloudman	4	low_freq	NAMELIKE
coile	4	low_freq	TYPO
colbourn	4	low_freq	TYPO
colvig	4	low_freq	TYPO
concow	4	low_freq	NAMELIKE
coolbrith	4	low_freq	NAMELIKE
couey	4	low_freq	TYPO
covy	4	low_freq	TYPO
cridge	4	low_freq	TYPO
cuffey	4	low_freq	TYPO
cushenbury	4	low_freq	NAMELIKE
damsite	4	low_freq	NAMELIKE
danver	4	low_freq	TYPO
delery	4	low_freq	TYPO
deluz	4	low_freq	NAMELIKE
denzler	4	low_freq	NAMELIKE
domitila	4	low_freq	NAMELIKE
dornin	4	low_freq	TYPO
ducor	4	low_freq	TYPO
dufrane	4	low_freq	NAMELIKE
duto	4	low_freq	TYPO
ebbetts	4	low_freq	NAMELIKE
echon	4	low_freq	TYPO
egard	4	low_freq	TYPO
elams	4	low_freq	TYPO
elay	4	low_freq	TYPO
elvera	4	low_freq	TYPO
empore	4	low_freq	TYPO
eque	4	low_freq	TYPO
erah	4	low_freq	TYPO
etters	4	low_freq	TYPO
eward	4	low_freq	TYPO
ewch	4	low_freq	TYPO
faling	4	low_freq	TYPO
fange	4	low_freq	TYPO
farst	4	low_freq	TYPO
fauls	4	low_freq	TYPO
fermen	4	low_freq	TYPO
fortine	4	low_freq	TYPO
frang	4	low_freq	TYPO
fues	4	low_freq	TYPO
gaestel	4	low_freq	NAMELIKE
garding	4	low_freq	TYPO
gillenwaters	4	low_freq	NAMELIKE
godsil	4	low_freq	NAMELIKE
granice	4	low_freq	TYPO
griset	4	low_freq	TYPO
grounts	4	low_freq	TYPO
gualco	4	low_freq	NAMELIKE
gubser	4	low_freq	NAMELIKE
haerle	4	low_freq	NAMELIKE
haskill	4	low_freq	TYPO
havy	4	low_freq	TYPO
hedionda	4	low_freq	NAMELIKE
hellmers	4	low_freq	NAMELIKE
heusing	4	low_freq	TYPO
hishway	4	low_freq	TYPO
horm	4	low_freq	TYPO
houge	4	low_freq	TYPO
hutching	4	low_freq	TYPO
inyokern	4	low_freq	NAMELIKE
israe	4	low_freq	TYPO
ivdu	4	low_freq	NAMELIKE
jalama	4	low_freq	NAMELIKE
jayman	4	low_freq	TYPO
jerke	4	low_freq	TYPO
jnay	4	low_freq	TYPO
jore	4	low_freq	TYPO
jourden	4	low_freq	TYPO
keesling	4	low_freq	TYPO
kener	4	low_freq	TYPO
kenfield	4	low_freq	TYPO
klope	4	low_freq	TYPO
kobata	4	low_freq	NAMELIKE
kons	4	low_freq	TYPO
lackee	4	low_freq	TYPO
lambden	4	low_freq	NAMELIKE
langenberger	4	low_freq	NAMELIKE
lasuen	4	low_freq	TYPO
leavesley	4	low_freq	NAMELIKE
legel	4	low_freq	TYPO
lejo	4	low_freq	TYPO
limerock	4	low_freq	TYPO
lonis	4	low_freq	TYPO
lorigan	4	low_freq	NAMELIKE
loughrin	4	low_freq	NAMELIKE
louttit	4	low_freq	NAMELIKE
luevano	4	low_freq	NAMELIKE
magram	4	low_freq	TYPO
mallagh	4	low_freq	NAMELIKE
mannery	4	low_freq	TYPO
mcelvaine	4	low_freq	NAMELIKE
mcenerney	4	low_freq	NAMELIKE
medaris	4	low_freq	NAMELIKE
menary	4	low_freq	TYPO
meneely	4	low_freq	NAMELIKE
mentel	4	low_freq	TYPO
mindham	4	low_freq	TYPO
moct	4	low_freq	TYPO
muertas	4	low_freq	NAMELIKE
mulos	4	low_freq	TYPO
nend	4	low_freq	TYPO
nojoqui	4	low_freq	NAMELIKE
norice	4	low_freq	TYPO
norviel	4	low_freq	NAMELIKE
notleys	4	low_freq	NAMELIKE
obligacion	4	low_freq	TYPO
ocate	4	low_freq	TYPO
olompali	4	low_freq	NAMELIKE
oneo	4	low_freq	TYPO
oneys	4	low_freq	TYPO
orben	4	low_freq	TYPO
ordbend	4	low_freq	NAMELIKE
oross	4	low_freq	TYPO
pands	4	low_freq	TYPO
panhorst	4	low_freq	NAMELIKE
pastoria	4	low_freq	TYPO
pastorino	4	low_freq	NAMELIKE
paulden	4	low_freq	TYPO
pearis	4	low_freq	TYPO
penston	4	low_freq	TYPO
persyn	4	low_freq	TYPO
picknicking	4	low_freq	NAMELIKE
