[2026-06-01 23:15 PT] [1852] STAGE2-PREPROCESS | page 2/288 ok=2 fail=0 | OK
[2026-06-01 23:15 PT] [1852] STAGE2-PREPROCESS | page 3/288 ok=3 fail=0 | OK
[2026-06-01 23:17 PT] [1852] STAGE2-PREPROCESS | page 101/288 ok=101 fail=0 | OK
[2026-06-01 23:18 PT] [1852] STAGE2-PREPROCESS | page 201/288 ok=201 fail=0 | OK
[2026-06-01 23:19 PT] [1852] STAGE2-PREPROCESS | Preprocess done: 288 OK / 0 FAIL in 238.4s | OK
[2026-06-01 23:19 PT] [1852] STAGE3-CLASSIFY | Detecting body start page via ink density | OK
[2026-06-01 23:19 PT] [1852] STAGE3-CLASSIFY | Body start detected at 0-indexed page 2 (PDF page 3) | OK
[2026-06-01 23:19 PT] [1852] STAGE3-CLASSIFY | Classification done in 8.5s: body=284 front_matter=2 index=1 empty=1 | OK
[2026-06-01 23:19 PT] [1852] STAGE4-OCR | Loading docTR model (GPU) | OK
[2026-06-01 23:19 PT] [1852] STAGE4-OCR | docTR on GPU: NVIDIA GeForce RTX 5080 | OK
[2026-06-01 23:20 PT] [1852] STAGE4-OCR | Surya (local) loaded OK | OK
[2026-06-01 23:20 PT] [1852] STAGE4-OCR | Starting OCR consensus on 284 body pages (Surya=True) | OK
[2026-06-01 23:20 PT] [1852] STAGE4-OCR | page 3 (1/284): engines=surya+doctr+tess agree=0.49 hi=False 4.6s | OK
[2026-06-01 23:20 PT] [1852] STAGE4-OCR | page 4 (2/284): engines=surya+doctr+tess agree=0.51 hi=False 4.8s | OK
[2026-06-01 23:20 PT] [1852] STAGE4-OCR | page 5 (3/284): engines=surya+doctr+tess agree=0.41 hi=False 3.6s | OK
[2026-06-01 23:20 PT] [1852] STAGE4-OCR | page 6 (4/284): engines=surya+doctr+tess agree=0.34 hi=False 3.2s | OK
[2026-06-01 23:20 PT] [1852] STAGE4-OCR | page 7 (5/284): engines=surya+doctr+tess agree=0.28 hi=False 3.5s | OK
[2026-06-01 23:21 PT] [1852] STAGE4-OCR | page 23 (21/284): engines=surya+doctr+tess agree=0.59 hi=False 3.3s | OK
[2026-06-01 23:22 PT] [1852] STAGE4-OCR | page 43 (41/284): engines=surya+doctr+tess agree=0.45 hi=False 2.9s | OK
[2026-06-01 23:23 PT] [1852] STAGE4-OCR | page 63 (61/284): engines=surya+doctr+tess agree=0.64 hi=False 2.3s | OK
[2026-06-01 23:24 PT] [1852] STAGE4-OCR | page 83 (81/284): engines=surya+doctr+tess agree=0.63 hi=False 2.3s | OK
[2026-06-01 23:25 PT] [1852] STAGE4-OCR | page 103 (101/284): engines=surya+doctr+tess agree=0.64 hi=False 3.0s | OK
[2026-06-01 23:26 PT] [1852] STAGE4-OCR | page 123 (121/284): engines=surya+doctr+tess agree=0.57 hi=False 3.2s | OK
[2026-06-01 23:26 PT] [1852] STAGE4-OCR | page 143 (141/284): engines=surya+doctr+tess agree=0.56 hi=False 3.3s | OK
[2026-06-01 23:27 PT] [1852] STAGE4-OCR | page 163 (161/284): engines=surya+doctr+tess agree=0.52 hi=False 2.7s | OK
[2026-06-01 23:28 PT] [1852] STAGE4-OCR | page 183 (181/284): engines=surya+doctr+tess agree=0.64 hi=False 2.9s | OK
[2026-06-01 23:29 PT] [1852] STAGE4-OCR | page 203 (201/284): engines=surya+doctr+tess agree=0.68 hi=True 2.6s | OK
[2026-06-01 23:30 PT] [1852] STAGE4-OCR | page 223 (221/284): engines=surya+doctr+tess agree=0.52 hi=False 2.2s | OK
[2026-06-01 23:31 PT] [1852] STAGE4-OCR | page 243 (241/284): engines=surya+doctr+tess agree=0.53 hi=False 2.5s | OK
[2026-06-01 23:31 PT] [1852] STAGE4-OCR | page 263 (261/284): engines=surya+doctr+tess agree=0.58 hi=False 2.5s | OK
[2026-06-01 23:32 PT] [1852] STAGE4-OCR | page 284 (281/284): engines=surya+doctr+tess agree=0.68 hi=True 2.5s | OK
[2026-06-01 23:32 PT] [1852] STAGE4-OCR | OCR done: 284 pages in 760.4s (2.68s/page) hi=49 lo=235 | OK
[2026-06-01 23:32 PT] [1852] STAGE4-OCR | Confidence distribution: {'high_>=0.65': 49, 'medium_0.50_0.65': 201, 'low_<0.50': 34, 'mean_agreement': 0.5851, 'median_agreement': 0.5897} | OK
[2026-06-01 23:32 PT] [1852] STAGE5-PARSE | Parsing acts from consensus OCR text | OK
[2026-06-01 23:32 PT] [1852] STAGE5-PARSE | Parse done in 0.04s: confident=12 flagged_text_only=101 | OK
[2026-06-01 23:32 PT] [1852] STAGE6-INGEST | Starting DB ingest (idempotent on content_sha256) | OK
[2026-06-01 23:32 PT] [1852] STAGE6-INGEST | Updated skeleton source_document id=3 with real data | OK
[2026-06-01 23:32 PT] [1852] STAGE6-INGEST | Ingesting 12 confident acts | OK
[2026-06-01 23:32 PT] [1852] STAGE6-INGEST | Ingest done: enactments=3 provisions=3 change_events=3 skipped_dup=9 failed=0 | OK
[2026-06-01 23:32 PT] [1852] STAGE6-INGEST | Flagged text-only acts (NOT ingested as structured): 101 | WARN
[2026-06-01 23:32 PT] [1852] STAGE6-INGEST | Final DB counts: source_document=20 enactment=1235 provision=1235 change_event=1235 | OK
[2026-06-01 23:32 PT] [1852] REPORT | === VOLUME COMPLETE: 1852 === | OK
[2026-06-01 23:32 PT] [1852] REPORT | PDF: 1852_Statutes.pdf | 288 pages | SHA256=a227019baab061d2ba47299e5c12c8fd46d70c818feeb43716c974bb304fef8a | OK
[2026-06-01 23:32 PT] [1852] REPORT | Render: 13.1s | Preprocess: 238.4s | OCR: 760.4s | Parse: 0.04s | TOTAL: 1011.9s (16.9 min) | OK
[2026-06-01 23:32 PT] [1852] REPORT | OCR: 284 body pages | 2.68s/page | 22.4 p/min | Surya=True engines=surya+doctr+tesseract-5 | OK
[2026-06-01 23:32 PT] [1852] REPORT | Confidence: {'high_>=0.65': 49, 'medium_0.50_0.65': 201, 'low_<0.50': 34, 'mean_agreement': 0.5851, 'median_agreement': 0.5897} | OK
[2026-06-01 23:32 PT] [1852] REPORT | Acts: confident=12 flagged=101 | OK
[2026-06-01 23:32 PT] [1852] REPORT | DB: src_doc_id=3 enactments=3 provisions=3 change_events=3 | OK
[2026-06-01 23:32 PT] [1852] REPORT | OCR output: C:\Users\PatrickKolasinski\PatoLex-scratch\production-1852\ocr_consensus\page_ocr_results.json | OK
[2026-06-01 23:32 PT] [1852] REPORT | === END: 1852 === | OK
[2026-06-01 23:32 PT] [BATCH] BATCH | 1852: COMPLETED in 17.2 min (exit 0) | OK
[2026-06-01 23:32 PT] [BATCH] BATCH | Starting 1853: 318 pages, ~17 min est | 1853_Statutes.pdf | OK
[2026-06-01 23:32 PT] [1853] PIPELINE | === START: 1853_Statutes.pdf session=1853 === | OK
[2026-06-01 23:32 PT] [1853] STAGE0 | Computing SHA256 of 1853_Statutes.pdf | OK
[2026-06-01 23:32 PT] [1853] STAGE0 | SHA256=b84b34aedc93d4e9aba07af7b53352d5d812b3f67db818913604c04a97f140d3 (7ms) | OK
[2026-06-01 23:32 PT] [1853] STAGE0 | No production row with this SHA256 -- proceeding | OK
[2026-06-01 23:32 PT] [1853] STAGE0 | PDF opened: 318 pages | OK
[2026-06-01 23:32 PT] [1853] STAGE1-RENDER | Rendering 318 pages at 300 DPI | OK
[2026-06-01 23:32 PT] [1853] STAGE1-RENDER | page 1/318 | OK
[2026-06-01 23:32 PT] [1853] STAGE1-RENDER | page 2/318 | OK
[2026-06-01 23:32 PT] [1853] STAGE1-RENDER | page 3/318 | OK
[2026-06-01 23:32 PT] [1853] STAGE1-RENDER | page 101/318 | OK
[2026-06-01 23:32 PT] [1853] STAGE1-RENDER | page 201/318 | OK
[2026-06-01 23:33 PT] [1853] STAGE1-RENDER | page 301/318 | OK
[2026-06-01 23:33 PT] [1853] STAGE1-RENDER | Render done: 318 pages in 14.3s (0.05s/page) | OK
[2026-06-01 23:33 PT] [1853] STAGE2-PREPROCESS | Preprocessing 318 pages (v2 grayscale track) | OK
[2026-06-01 23:33 PT] [1853] STAGE2-PREPROCESS | page 1/318 ok=1 fail=0 | OK
[2026-06-01 23:33 PT] [1853] STAGE2-PREPROCESS | page 2/318 ok=2 fail=0 | OK
[2026-06-01 23:33 PT] [1853] STAGE2-PREPROCESS | page 3/318 ok=3 fail=0 | OK
[2026-06-01 23:34 PT] [1853] STAGE2-PREPROCESS | page 101/318 ok=101 fail=0 | OK
[2026-06-01 23:35 PT] [1853] STAGE2-PREPROCESS | page 201/318 ok=201 fail=0 | OK
[2026-06-01 23:37 PT] [1853] STAGE2-PREPROCESS | page 301/318 ok=301 fail=0 | OK
[2026-06-01 23:37 PT] [1853] STAGE2-PREPROCESS | Preprocess done: 318 OK / 0 FAIL in 264.7s | OK
[2026-06-01 23:37 PT] [1853] STAGE3-CLASSIFY | Detecting body start page via ink density | OK
[2026-06-01 23:37 PT] [1853] STAGE3-CLASSIFY | Body start detected at 0-indexed page 2 (PDF page 3) | OK
[2026-06-01 23:37 PT] [1853] STAGE3-CLASSIFY | Classification done in 8.5s: body=314 front_matter=2 index=1 empty=1 | OK
[2026-06-01 23:37 PT] [1853] STAGE4-OCR | Loading docTR model (GPU) | OK
[2026-06-01 23:37 PT] [1853] STAGE4-OCR | docTR on GPU: NVIDIA GeForce RTX 5080 | OK
[2026-06-01 23:37 PT] [1853] STAGE4-OCR | Surya (local) loaded OK | OK
[2026-06-01 23:37 PT] [1853] STAGE4-OCR | Starting OCR consensus on 314 body pages (Surya=True) | OK
[2026-06-01 23:37 PT] [1853] STAGE4-OCR | page 3 (1/314): engines=surya+doctr+tess agree=0.58 hi=False 4.7s | OK
[2026-06-01 23:37 PT] [1853] STAGE4-OCR | page 4 (2/314): engines=surya+doctr+tess agree=0.48 hi=False 3.7s | OK
[2026-06-01 23:37 PT] [1853] STAGE4-OCR | page 5 (3/314): engines=surya+doctr+tess agree=0.52 hi=False 2.9s | OK
[2026-06-01 23:37 PT] [1853] STAGE4-OCR | page 6 (4/314): engines=surya+doctr+tess agree=0.56 hi=False 2.9s | OK
[2026-06-01 23:38 PT] [1853] STAGE4-OCR | page 7 (5/314): engines=surya+doctr+tess agree=0.62 hi=False 3.0s | OK
[2026-06-01 23:38 PT] [1853] STAGE4-OCR | page 24 (21/314): engines=surya+doctr+tess agree=0.68 hi=True 2.1s | OK
[2026-06-01 23:39 PT] [1853] STAGE4-OCR | page 44 (41/314): engines=surya+doctr+tess agree=0.68 hi=True 2.3s | OK
[2026-06-01 23:40 PT] [1853] STAGE4-OCR | page 64 (61/314): engines=surya+doctr+tess agree=0.67 hi=True 2.9s | OK
[2026-06-01 23:40 PT] [1853] STAGE4-OCR | page 84 (81/314): engines=surya+doctr+tess agree=0.71 hi=True 1.7s | OK
[2026-06-01 23:41 PT] [1853] STAGE4-OCR | page 104 (101/314): engines=surya+doctr+tess agree=0.68 hi=True 3.0s | OK
[2026-06-01 23:42 PT] [1853] STAGE4-OCR | page 124 (121/314): engines=surya+doctr+tess agree=0.57 hi=False 2.8s | OK
[2026-06-01 23:43 PT] [1853] STAGE4-OCR | page 144 (141/314): engines=surya+doctr+tess agree=0.72 hi=True 2.0s | OK
[2026-06-01 23:44 PT] [1853] STAGE4-OCR | page 164 (161/314): engines=surya+doctr+tess agree=0.67 hi=True 2.3s | OK
[2026-06-01 23:45 PT] [1853] STAGE4-OCR | page 184 (181/314): engines=surya+doctr+tess agree=0.59 hi=False 3.3s | OK
[2026-06-01 23:45 PT] [1853] STAGE4-OCR | page 204 (201/314): engines=surya+doctr+tess agree=0.71 hi=True 3.3s | OK
[2026-06-01 23:46 PT] [1853] STAGE4-OCR | page 224 (221/314): engines=surya+doctr+tess agree=0.73 hi=True 2.3s | OK
[2026-06-01 23:47 PT] [1853] STAGE4-OCR | page 244 (241/314): engines=surya+doctr+tess agree=0.60 hi=False 2.6s | OK
[2026-06-01 23:48 PT] [1853] STAGE4-OCR | page 264 (261/314): engines=surya+doctr+tess agree=0.61 hi=False 3.2s | OK
[2026-06-01 23:49 PT] [1853] STAGE4-OCR | page 284 (281/314): engines=surya+doctr+tess agree=0.67 hi=True 3.2s | OK
