vol	page	tier	kind	margin_words	head	tail	joined	margin_text
production-1862	579	HYPHEN	blankgap	0	men	tioned	mentioned	
production-1862	584	HYPHEN	margin	24	col	lecting	collecting	lection of tuxcs on consigned goods nor to repeal or affect the | laws heretofore or now in force in rogard to issuing or col
production-1862	592	HYPHEN	blankgap	0	in	terest	interest	
production-1862	600	HYPHEN	blankgap	0	deficien	cies	deficiencies	
production-1862	602	HYPHEN	margin	12	appro	priated	appropriated	atious priated out of any money in the Treasury not otherwise appro
production-1862	618	HYPHEN	blankgap	0	transporta	tion	transportation	
production-1862	621	HYPHEN	blankgap	0	inhabi	tants	inhabitants	
production-1862	623	HYPHEN	crosspage	0	in	corporated	incorporated	->624
production-1862	645	HYPHEN	blankgap	0	dis	trict	district	
production-1863	36	SPACESPLIT	spacesplit2	0	and	rews	andrews	
production-1863	71	NOHYPHEN	adjacent	0	satisfac	tory	satisfactory	
production-1863	74	HYPHEN	blankgap	0	ex	ecution	execution	
production-1863	97	HYPHEN	blankgap	0	prop	erty	property	
production-1863	105	HYPHEN	crosspage	0	compen	sation	compensation	->106
production-1863	107	HYPHEN	margin	15	col	lected	collected	Iected for foreign miners licenses | Phird The amount paid to said Treasurer for money col
production-1863	124	HYPHEN	margin	53	pro	ceeding	proceeding	vide for the use and regulation of all the commons aud pruperty | of the city by lease or otherwise | Bev The said Mayor and Councilmen City Marshal Clerk tection | and City Treasurer shall be elected by the qualified voters of | the city on the second Monday in April of cach and every suc
production-1863	126	HYPHEN	blankgap	0	discre	tion	discretion	
production-1863	126	HYPHEN	blankgap	0	im	plements	implements	
production-1863	126	HYPHEN	blankgap	0	ordi	nances	ordinances	
production-1863	126	HYPHEN	crosspage	0	par	ticularly	particularly	->127
production-1863	141	HYPHEN	blankgap	0	su	perintendent	superintendent	
production-1863	160	HYPHEN	blankgap	0	pro	tection	protection	
production-1863	164	HYPHEN	crosspage	0	dis	trict	district	->165
production-1863	193	HYPHEN	margin	50	remain	dered	remaindered	ing sections of said Act | Road Src For all purposes of this Act the townships as now | Districts established shall bo Road Districts within tho meaning of this | law and they may bo chuaged divided created or more dis | tinctly defined by the Board of Supervisors at any time consi
production-1863	200	HYPHEN	blankgap	0	treas	urer	treasurer	
production-1863	212	HYPHEN	blankgap	0	commis	sioners	commissioners	
production-1863	229	HYPHEN	margin	22	man	urer	manurer	ner that the same can be removed without mutilation to the | bond Said coupons shall exch be signed by the Mayor Treas
production-1863	243	HYPHEN	blankgap	0	con	ditions	conditions	
production-1863	275	HYPHEN	blankgap	0	prop	erty	property	
production-1863	278	SPACESPLIT	spacesplit2	0	twel	fth	twelfth	
production-1863	290	HYPHEN	blankgap	0	obstruc	tion	obstruction	
production-1863	309	NOHYPHEN	adjacent	0	propor	tion	proportion	
production-1863	315	HYPHEN	blankgap	0	pro	prietor	proprietor	
production-1863	315	HYPHEN	blankgap	0	con	trary	contrary	
production-1863	317	HYPHEN	crosspage	0	col	lected	collected	->318
production-1863	330	HYPHEN	blankgap	0	treas	urer	treasurer	
production-1863	337	HYPHEN	margin	32	exhibi	tions	exhibitions	tious theatres circus companics shows amusements bowling | alleys and billiard tables saloons bars and drinking places | auctioneers bankers peddlers pawnbrvkers raffles and lawful | games to suppress all occupations placer houses and oxhibi
production-1863	338	HYPHEN	blankgap	0	prop	erty	property	
production-1863	338	HYPHEN	blankgap	0	inhabi	tants	inhabitants	
production-1863	344	HYPHEN	blankgap	0	ex	ceeding	exceeding	
production-1863	369	HYPHEN	blankgap	0	adminis	trator	administrator	
production-1863	370	HYPHEN	blankgap	0	ryck	man	ryckman	
production-1863	389	HYPHEN	margin	56	prose	cuted	prosecuted	cuting tbe action or makings the defence or under whose title | tho action is prosecuted or the defence is mado or the ancestor | predocossor or yrantor of such porson was seized or possessed | of the premises in question within five yonrs before the com | mencement of the Act in respect to which such action is prose
production-1863	410	HYPHEN	blankgap	0	prop	erty	property	
production-1863	417	HYPHEN	crosspage	0	re	spective	respective	->418
production-1863	418	NOHYPHEN	adjacent	0	liabili	ties	liabilities	
production-1863	426	HYPHEN	blankgap	0	estimat	ing	estimating	
production-1863	429	HYPHEN	blankgap	0	treas	urer	treasurer	
production-1863	446	HYPHEN	blankgap	0	re	fusal	refusal	
production-1863	447	HYPHEN	margin	56	man	urer	manurer	ner for the space of four weeks for the redemption of all the | outstanding bonds issued under this Act atter which time said | bonds shall cease to draw interest Any moneys remaining in | said Lean Fund after the redemption of said bonds shall be by | the said Commissioners paid over to the City and County Treas
production-1863	462	SPACESPLIT	spacesplit2	0	calcula	tion	calculation	
production-1863	464	NOHYPHEN	adjacent	0	excava	tions	excavations	
production-1863	467	HYPHEN	blankgap	0	com	petent	competent	
production-1863	471	HYPHEN	blankgap	0	men	tioned	mentioned	
production-1863	475	HYPHEN	margin	12	con	cordance	concordance	tract and all contracts for that purpose shal be made in ac
production-1863	501	HYPHEN	crosspage	0	appropria	tion	appropriation	->502
production-1863	504	HYPHEN	blankgap	0	sup	plementary	supplementary	
production-1863	504	HYPHEN	blankgap	0	con	flict	conflict	
production-1863	504	HYPHEN	blankgap	0	organi	zation	organization	
production-1863	516	HYPHEN	blankgap	0	treas	urer	treasurer	
production-1863	526	HYPHEN	blankgap	0	prop	erty	property	
production-1863	529	HYPHEN	margin	46	com	pleted	completed	pany shall or may be entitled to receive under tho provisiuns ot | this Act and if the said Commissioners or a majority of them | shall report and certily to the Controller of State that not less | than twenty consecutive miles of said railroud have been com
production-1863	529	HYPHEN	blankgap	0	com	pleted	completed	
production-1863	529	HYPHEN	blankgap	0	commis	sioners	commissioners	
production-1863	529	HYPHEN	blankgap	0	commis	sioners	commissioners	
production-1863	531	HYPHEN	blankgap	0	dis	trict	district	
production-1863	531	HYPHEN	crosspage	0	recla	mation	reclamation	->532
production-1863	532	NOHYPHEN	adjacent	0	ascer	tain	ascertain	
production-1863	545	HYPHEN	blankgap	0	pre	viously	previously	
production-1863	573	HYPHEN	blankgap	0	per	quisites	perquisites	
production-1863	573	HYPHEN	blankgap	0	pris	oners	prisoners	
production-1863	573	HYPHEN	blankgap	0	dep	uties	deputies	
production-1863	579	HYPHEN	margin	12	ac	tioned	actioned	and Audit count accrued during any period for which the estimate men
production-1863	588	HYPHEN	blankgap	0	compen	sation	compensation	
production-1863	591	HYPHEN	blankgap	0	ter	minates	terminates	
production-1863	596	HYPHEN	blankgap	0	discontinu	ance	discontinuance	
production-1863	605	HYPHEN	blankgap	0	ac	cordance	accordance	
